operator_id,in,out,total_calls,outbound_share,missed_rate,avg_in_wait_time,role,days_active,daily_outbound_avg,is_inefficient,is_inefficient_refined
879896,58,872,930,0.9376344086021505,0.0,13.396198830409357,Outbound,50,17.44,False,False
879898,104,7209,7313,0.9857787501709285,0.0,14.080116959064329,Outbound,84,85.82142857142857,False,False
880020,7,38,45,0.8444444444444444,0.0,7.714285714285714,Outbound,14,2.7142857142857144,True,True
880022,8,189,197,0.9593908629441624,0.0,14.0,Outbound,42,4.5,False,False
880026,24,2208,2232,0.989247311827957,0.0,5.935185185185185,Outbound,77,28.675324675324674,False,False
880028,63,2497,2560,0.975390625,0.0,6.10650406504065,Outbound,78,32.01282051282051,False,False
880240,0,47,47,1.0,0.0,0.0,Outbound,7,6.714285714285714,False,False
881278,0,20,20,1.0,0.0,0.0,Outbound,5,4.0,False,False
882476,3,0,3,0.0,0.0,31.666666666666668,Inbound,3,0.0,False,False
882478,3,1,4,0.25,0.0,22.25,Inbound,1,1.0,False,False
882680,99,0,99,0.0,0.06976744186046512,17.40329457364341,Inbound,40,0.0,False,False
882684,613,661,1274,0.5188383045525903,0.08,16.86614285442787,Mixed,61,10.836065573770492,False,False
882686,766,2884,3650,0.7901369863013699,0.07352941176470588,15.711648724464252,Outbound,80,36.05,False,False
882688,15,43,58,0.7413793103448276,0.0,42.65,Outbound,4,10.75,False,False
882690,171,1417,1588,0.8923173803526449,0.09090909090909091,40.16558037921674,Outbound,22,64.4090909090909,False,False
883018,0,2,2,1.0,0.0,0.0,Outbound,1,2.0,True,False
883898,0,1,1,1.0,0.0,0.0,Outbound,1,1.0,True,False
883940,6,632,638,0.9905956112852664,0.0,11.8,Outbound,16,39.5,False,False
883942,77,2030,2107,0.9634551495016611,0.0,7.101020408163265,Outbound,57,35.6140350877193,False,False
884294,1,0,1,0.0,0.0,6.0,Inbound,1,0.0,False,False
884402,0,4,4,1.0,0.0,0.0,Outbound,1,4.0,False,False
884406,0,3,3,1.0,0.0,0.0,Outbound,1,3.0,True,False
884408,35,25,60,0.4166666666666667,0.21428571428571427,28.00595238095238,Mixed,12,2.0833333333333335,True,True
884412,18,748,766,0.9765013054830287,0.0,37.5,Outbound,62,12.064516129032258,False,False
884478,22,2270,2292,0.9904013961605584,0.0,16.277777777777775,Outbound,38,59.73684210526316,False,False
884524,2,0,2,0.0,0.0,9.5,Inbound,2,0.0,False,False
884946,12,1847,1859,0.9935449166218397,0.0,12.547619047619047,Outbound,40,46.175,False,False
885682,0,3,3,1.0,0.0,0.0,Outbound,3,1.0,True,False
885876,992,58437,59429,0.9833078126840431,0.18888888888888888,9.171622552872348,Outbound,97,602.4432989690722,False,False
885890,1244,58977,60221,0.9793427541887382,0.22340425531914893,9.227462672161547,Outbound,80,737.2125,False,False
886146,1,49,50,0.98,0.0,9.0,Outbound,9,5.444444444444445,False,False
886674,11,0,11,0.0,0.0,16.833333333333332,Inbound,9,0.0,False,False
886892,2,0,2,0.0,0.0,29.0,Inbound,1,0.0,False,False
887276,431,896,1327,0.6752072343632253,0.043478260869565216,28.5587003576134,Mixed,70,12.8,False,False
887278,52,256,308,0.8311688311688312,0.0,17.225694444444446,Outbound,42,6.095238095238095,False,False
887280,0,8,8,1.0,0.0,0.0,Outbound,5,1.6,True,True
887282,28,2327,2355,0.9881104033970276,0.0,46.1875,Outbound,49,47.48979591836735,False,False
887416,18,0,18,0.0,0.0,17.303030303030305,Inbound,11,0.0,False,False
887802,16,121,137,0.8832116788321168,0.0,11.0,Outbound,37,3.27027027027027,True,True
887992,0,47,47,1.0,0.0,0.0,Outbound,3,15.666666666666666,False,False
888406,9,6,15,0.4,0.14285714285714285,29.857142857142858,Mixed,12,0.5,True,True
888520,6,0,6,0.0,0.0,15.1,Inbound,5,0.0,False,False
888532,12,188,200,0.94,0.2222222222222222,26.444444444444443,Outbound,54,3.4814814814814814,False,False
888534,61,315,376,0.8377659574468085,0.05555555555555555,28.243055555555557,Outbound,53,5.943396226415095,False,False
888536,2,52,54,0.9629629629629629,0.0,21.5,Outbound,23,2.260869565217391,True,True
888538,1,5,6,0.8333333333333334,0.0,24.0,Outbound,5,1.0,True,True
888540,3,14,17,0.8235294117647058,0.0,19.666666666666668,Outbound,10,1.4,True,True
888868,20,52,72,0.7222222222222222,0.07692307692307693,17.589743589743588,Outbound,17,3.0588235294117645,True,True
889410,439,1015,1454,0.6980742778541953,0.0,5.932745918305545,Mixed,87,11.666666666666666,False,False
889638,4,0,4,0.0,0.0,14.833333333333334,Inbound,3,0.0,False,False
889640,2,0,2,0.0,0.0,13.5,Inbound,2,0.0,False,False
889754,480,1207,1687,0.7154712507409603,0.027777777777777776,8.147434240142573,Outbound,72,16.76388888888889,False,False
890226,3,3,6,0.5,0.0,27.333333333333332,Mixed,4,0.75,True,False
890228,6,86,92,0.9347826086956522,0.16666666666666666,17.333333333333332,Outbound,30,2.8666666666666667,True,True
890232,0,33,33,1.0,0.0,0.0,Outbound,15,2.2,True,True
890234,0,1,1,1.0,0.0,0.0,Outbound,1,1.0,True,False
890402,539,1243,1782,0.6975308641975309,0.0,10.940541752602504,Mixed,75,16.573333333333334,False,False
890404,516,1349,1865,0.7233243967828418,0.025974025974025976,10.94521373287607,Outbound,75,17.986666666666668,False,False
890406,425,1197,1622,0.7379778051787916,0.05405405405405406,10.32882972882973,Outbound,72,16.625,False,False
890410,16,1216,1232,0.987012987012987,0.0,6.605555555555555,Outbound,72,16.88888888888889,False,False
890412,23,1112,1135,0.9797356828193833,0.0,14.539115646258503,Outbound,72,15.444444444444445,False,False
890416,0,1271,1271,1.0,0.0,0.0,Outbound,73,17.410958904109588,False,False
890420,0,695,695,1.0,0.0,0.0,Outbound,43,16.162790697674417,False,False
890422,0,402,402,1.0,0.0,0.0,Outbound,31,12.96774193548387,False,False
890582,104,58,162,0.35802469135802467,0.025,13.602023809523809,Mixed,45,1.288888888888889,True,True
890618,73,270,343,0.7871720116618076,0.03225806451612903,1.1007769112607821,Outbound,45,6.0,False,False
891152,0,273,273,1.0,0.0,0.0,Outbound,55,4.963636363636364,False,False
891154,0,528,528,1.0,0.0,0.0,Outbound,70,7.542857142857143,False,False
891156,0,18,18,1.0,0.0,0.0,Outbound,7,2.5714285714285716,True,True
891158,0,264,264,1.0,0.0,0.0,Outbound,64,4.125,False,False
891160,0,370,370,1.0,0.0,0.0,Outbound,46,8.043478260869565,False,False
891162,0,104,104,1.0,0.0,0.0,Outbound,25,4.16,False,False
891166,0,231,231,1.0,0.0,0.0,Outbound,58,3.9827586206896552,False,False
891170,0,193,193,1.0,0.0,0.0,Outbound,24,8.041666666666666,False,False
891192,0,1,1,1.0,0.0,0.0,Outbound,1,1.0,True,False
891250,0,2,2,1.0,0.0,0.0,Outbound,1,2.0,True,False
891252,0,86,86,1.0,0.0,0.0,Outbound,7,12.285714285714286,False,False
891254,1,0,1,0.0,0.0,26.0,Inbound,1,0.0,False,False
891410,660,2737,3397,0.8057109214012363,0.02857142857142857,13.977161294587765,Outbound,75,36.49333333333333,False,False
891414,503,2498,3001,0.8323892035988004,0.01694915254237288,12.274387100658286,Outbound,72,34.69444444444444,False,False
891416,142,758,900,0.8422222222222222,0.0,16.357752294986337,Outbound,61,12.426229508196721,False,False
891646,8,0,8,0.0,0.0,20.357142857142858,Inbound,7,0.0,False,False
891744,5,6,11,0.5454545454545454,0.0,23.875,Mixed,5,1.2,True,True
891746,0,33,33,1.0,0.0,0.0,Outbound,3,11.0,False,False
891824,12,32,44,0.7272727272727273,0.0,16.357142857142858,Outbound,13,2.4615384615384617,True,True
891900,33,0,33,0.0,0.0,39.13921568627451,Inbound,17,0.0,False,False
891906,67,0,67,0.0,0.0,26.542528735632185,Inbound,29,0.0,False,False
891908,39,9,48,0.1875,0.0,10.44135802469136,Inbound,28,0.32142857142857145,False,False
891918,5,1,6,0.16666666666666666,0.0,31.2,Inbound,6,0.16666666666666666,False,False
891946,16,32,48,0.6666666666666666,0.0,19.03846153846154,Mixed,21,1.5238095238095237,True,True
891948,1,0,1,0.0,0.0,3.0,Inbound,1,0.0,False,False
891970,0,15,15,1.0,0.0,0.0,Outbound,1,15.0,False,False
891976,0,2,2,1.0,0.0,0.0,Outbound,1,2.0,True,False
891988,414,474,888,0.5337837837837838,0.0,9.245013584299299,Mixed,65,7.292307692307692,False,False
892028,0,1337,1337,1.0,0.0,0.0,Outbound,33,40.515151515151516,False,False
892530,9,9,18,0.5,0.0,33.57142857142857,Mixed,12,0.75,True,True
892532,65,90,155,0.5806451612903226,0.0,30.017857142857142,Mixed,32,2.8125,True,True
892534,28,11,39,0.28205128205128205,0.0,35.6125,Inbound,9,1.2222222222222223,False,False
892536,16,13,29,0.4482758620689655,0.0,36.13636363636363,Mixed,17,0.7647058823529411,True,True
892538,10,116,126,0.9206349206349206,0.0,30.916666666666668,Outbound,12,9.666666666666666,False,False
892798,1,36,37,0.972972972972973,0.0,43.0,Outbound,3,12.0,False,False
892800,0,8,8,1.0,0.0,0.0,Outbound,2,4.0,False,False
893172,38,3,41,0.07317073170731707,0.0,23.31159420289855,Inbound,23,0.13043478260869565,False,False
893400,2,3,5,0.6,0.0,19.5,Mixed,2,1.5,True,False
893402,338,51,389,0.13110539845758354,0.036585365853658534,15.299552845528455,Inbound,73,0.6986301369863014,False,False
893420,206,29,235,0.12340425531914893,0.0196078431372549,28.344884364002013,Inbound,54,0.5370370370370371,False,False
893674,0,2468,2468,1.0,0.0,0.0,Outbound,42,58.76190476190476,False,False
893700,0,6,6,1.0,0.0,0.0,Outbound,2,3.0,True,False
893804,2433,3413,5846,0.5838179952104002,0.08411214953271028,5.274135135061998,Mixed,93,36.69892473118279,False,False
894120,18,0,18,0.0,0.1111111111111111,28.97222222222222,Inbound,9,0.0,False,False
894224,11,33,44,0.75,0.1111111111111111,11.555555555555555,Outbound,9,3.6666666666666665,False,False
894226,0,24,24,1.0,0.0,0.0,Outbound,6,4.0,False,False
894230,6,15,21,0.7142857142857143,0.3333333333333333,13.944444444444445,Outbound,6,2.5,True,True
894232,4,16,20,0.8,0.3333333333333333,10.0,Outbound,10,1.6,True,True
894614,8,0,8,0.0,0.16666666666666666,15.833333333333334,Inbound,5,0.0,False,False
894656,20,3167,3187,0.9937245058048322,0.0,21.51111111111111,Outbound,69,45.89855072463768,False,False
894662,1,37,38,0.9736842105263158,0.0,9.0,Outbound,11,3.3636363636363638,False,False
894934,0,19,19,1.0,0.0,0.0,Outbound,2,9.5,False,False
895140,4,0,4,0.0,0.0,28.333333333333332,Inbound,2,0.0,False,False
895170,11,0,11,0.0,0.0,14.7,Inbound,10,0.0,False,False
895172,8,82,90,0.9111111111111111,0.0,12.333333333333334,Outbound,21,3.9047619047619047,False,False
895266,2,1,3,0.3333333333333333,0.0,10.0,Mixed,2,0.5,True,False
895370,0,10,10,1.0,0.0,0.0,Outbound,1,10.0,False,False
895574,96,0,96,0.0,0.02127659574468085,14.869807497467072,Inbound,46,0.0,False,False
895576,70,0,70,0.0,0.025,17.671666666666667,Inbound,39,0.0,False,False
895578,57,0,57,0.0,0.0,13.59009009009009,Inbound,37,0.0,False,False
895598,3,2,5,0.4,0.0,5.5,Mixed,3,0.6666666666666666,True,False
895774,13,105,118,0.8898305084745762,0.0,14.125,Outbound,23,4.565217391304348,False,False
895776,12,239,251,0.952191235059761,0.1,14.35,Outbound,24,9.958333333333334,False,False
895782,13,0,13,0.0,0.0,21.5625,Inbound,8,0.0,False,False
895786,36,0,36,0.0,0.0,22.64047619047619,Inbound,14,0.0,False,False
896008,0,193,193,1.0,0.0,0.0,Outbound,61,3.1639344262295084,True,True
896010,10,4,14,0.2857142857142857,0.0,19.76190476190476,Inbound,8,0.5,False,False
896012,244,0,244,0.0,0.016129032258064516,6.417402713773681,Inbound,61,0.0,False,False
896014,14,8,22,0.36363636363636365,0.0,13.041666666666666,Mixed,17,0.47058823529411764,True,True
896016,71,254,325,0.7815384615384615,0.0,7.272413793103448,Outbound,57,4.456140350877193,False,False
896018,8,9,17,0.5294117647058824,0.0,27.125,Mixed,13,0.6923076923076923,True,True
896020,16,0,16,0.0,0.0,0.9583333333333334,Inbound,3,0.0,False,False
896382,36,392,428,0.9158878504672897,0.0,13.722451790633608,Outbound,12,32.666666666666664,False,False
896384,0,28,28,1.0,0.0,0.0,Outbound,2,14.0,False,False
896386,0,76,76,1.0,0.0,0.0,Outbound,1,76.0,False,False
896390,0,97,97,1.0,0.0,0.0,Outbound,6,16.166666666666668,False,False
896428,23,185,208,0.8894230769230769,0.0,10.6875,Outbound,17,10.882352941176471,False,False
896430,1,14,15,0.9333333333333333,0.0,13.0,Outbound,3,4.666666666666667,False,False
896536,182,0,182,0.0,0.029850746268656716,20.443781094527363,Inbound,62,0.0,False,False
896538,14,0,14,0.0,0.09090909090909091,48.09090909090909,Inbound,11,0.0,True,True
896708,66,152,218,0.6972477064220184,0.0,12.158974358974358,Mixed,12,12.666666666666666,False,False
897030,6,75,81,0.9259259259259259,0.0,12.4,Outbound,11,6.818181818181818,False,False
897872,3,49,52,0.9423076923076923,0.3333333333333333,21.666666666666668,Outbound,19,2.5789473684210527,True,True
897894,0,19,19,1.0,0.0,0.0,Outbound,5,3.8,False,False
898414,24,59,83,0.7108433734939759,0.3333333333333333,9.077777777777778,Outbound,2,29.5,False,False
898422,64,23,87,0.26436781609195403,0.1,6.498611111111112,Inbound,12,1.9166666666666667,False,False
898434,0,10,10,1.0,0.0,0.0,Outbound,3,3.3333333333333335,True,False
898558,22,0,22,0.0,0.0,28.936111111111114,Inbound,12,0.0,False,False
898560,19,0,19,0.0,0.0,32.19583333333333,Inbound,8,0.0,False,False
898676,2,0,2,0.0,0.0,8.0,Inbound,2,0.0,False,False
898892,12,82,94,0.8723404255319149,0.0,15.25,Outbound,30,2.7333333333333334,True,True
898902,0,22,22,1.0,0.0,0.0,Outbound,5,4.4,False,False
898906,19,127,146,0.8698630136986302,0.0,11.613095238095239,Outbound,5,25.4,False,False
898920,13,37,50,0.74,0.0,13.7375,Outbound,2,18.5,False,False
899076,0,2,2,1.0,0.0,0.0,Outbound,1,2.0,True,False
899082,655,1511,2166,0.6975992613111727,0.014492753623188406,20.42564911567052,Mixed,71,21.281690140845072,False,False
899250,286,1374,1660,0.827710843373494,0.05952380952380952,16.159769463340893,Outbound,86,15.976744186046512,False,False
899268,31,0,31,0.0,0.08333333333333333,21.333333333333332,Inbound,24,0.0,False,False
899788,0,603,603,1.0,0.0,0.0,Outbound,18,33.5,False,False
899790,0,716,716,1.0,0.0,0.0,Outbound,18,39.77777777777778,False,False
899892,3,0,3,0.0,0.0,31.666666666666668,Inbound,3,0.0,False,False
899898,2,0,2,0.0,0.0,25.0,Inbound,2,0.0,False,False
899900,2,0,2,0.0,0.0,58.0,Inbound,2,0.0,True,False
899906,1,0,1,0.0,0.0,19.0,Inbound,1,0.0,False,False
899912,1,0,1,0.0,0.0,19.0,Inbound,1,0.0,False,False
899932,0,711,711,1.0,0.0,0.0,Outbound,19,37.421052631578945,False,False
899964,0,418,418,1.0,0.0,0.0,Outbound,15,27.866666666666667,False,False
899968,0,364,364,1.0,0.0,0.0,Outbound,15,24.266666666666666,False,False
899972,0,191,191,1.0,0.0,0.0,Outbound,16,11.9375,False,False
900180,9,1682,1691,0.9946777054997044,0.0,6.6875,Outbound,45,37.37777777777778,False,False
900192,1,1,2,0.5,0.0,5.0,Mixed,1,1.0,True,False
900194,55,43,98,0.4387755102040816,0.05555555555555555,20.725,Mixed,44,0.9772727272727273,True,True
900352,183,307,490,0.6265306122448979,0.017543859649122806,16.37614870509607,Mixed,60,5.116666666666666,False,False
900354,142,477,619,0.7705977382875606,0.06382978723404255,16.949645390070923,Outbound,59,8.084745762711865,False,False
900458,1,28,29,0.9655172413793104,0.0,9.0,Outbound,8,3.5,False,False
900492,17,234,251,0.9322709163346613,0.06666666666666667,15.866666666666667,Outbound,55,4.254545454545455,False,False
900592,265,109,374,0.2914438502673797,0.0,7.402976399567924,Inbound,40,2.725,False,False
900594,34,201,235,0.8553191489361702,0.0,10.93,Outbound,47,4.276595744680851,False,False
900614,22,34,56,0.6071428571428571,0.0,9.875,Mixed,25,1.36,True,True
900742,22,16,38,0.42105263157894735,0.0,16.159259259259258,Mixed,11,1.4545454545454546,True,True
900746,26,49,75,0.6533333333333333,0.18181818181818182,21.72077922077922,Mixed,15,3.2666666666666666,True,True
900788,124,92,216,0.42592592592592593,0.023809523809523808,6.8165343915343914,Mixed,46,2.0,True,True
900790,44,55,99,0.5555555555555556,0.0,8.88343253968254,Mixed,12,4.583333333333333,False,False
900792,1,7,8,0.875,0.0,34.0,Outbound,3,2.3333333333333335,True,False
900826,86,510,596,0.8557046979865772,0.0,10.46195652173913,Outbound,77,6.623376623376624,False,False
900892,329,933,1262,0.7393026941362916,0.034482758620689655,6.873100680995418,Outbound,78,11.961538461538462,False,False
900894,110,218,328,0.6646341463414634,0.022727272727272728,12.448066706021251,Mixed,66,3.303030303030303,True,True
901034,13,12,25,0.48,0.0,12.75,Mixed,16,0.75,True,True
901038,5,33,38,0.868421052631579,0.0,25.125,Outbound,17,1.9411764705882353,True,True
901178,288,25,313,0.07987220447284345,0.0,7.800342113368429,Inbound,30,0.8333333333333334,False,False
901350,92,0,92,0.0,0.0,25.66316964285714,Inbound,32,0.0,False,False
901492,30,3,33,0.09090909090909091,0.0,24.38888888888889,Inbound,25,0.12,False,False
901498,5,0,5,0.0,0.0,51.0,Inbound,4,0.0,True,False
901584,104,172,276,0.6231884057971014,0.0,6.643253968253968,Mixed,60,2.8666666666666667,True,True
901586,41,94,135,0.6962962962962963,0.0,8.518518518518519,Mixed,38,2.473684210526316,True,True
901588,27,55,82,0.6707317073170732,0.0,6.552631578947368,Mixed,33,1.6666666666666667,True,True
901734,28,0,28,0.0,0.0,13.656593406593405,Inbound,13,0.0,False,False
901880,1825,2362,4187,0.5641270599474564,0.09259259259259259,5.35795815586243,Mixed,88,26.84090909090909,False,False
901884,566,2024,2590,0.7814671814671814,0.010526315789473684,13.454086118559802,Outbound,87,23.264367816091955,False,False
901886,143,1416,1559,0.9082745349583066,0.0,19.219166666666666,Outbound,51,27.764705882352942,False,False
901894,30,0,30,0.0,0.0,26.766666666666666,Inbound,9,0.0,False,False
901992,11,671,682,0.9838709677419355,0.0,9.476190476190476,Outbound,18,37.27777777777778,False,False
901996,3,26,29,0.896551724137931,0.0,14.333333333333334,Outbound,2,13.0,False,False
902238,1,1,2,0.5,0.0,8.0,Mixed,1,1.0,True,False
902510,122,1842,1964,0.9378818737270875,0.07692307692307693,33.81739926739927,Outbound,53,34.75471698113208,False,False
902532,239,867,1106,0.7839059674502713,0.029411764705882353,23.031607790517825,Outbound,40,21.675,False,False
902608,13,219,232,0.9439655172413793,0.0,7.56,Outbound,9,24.333333333333332,False,False
902720,99,2320,2419,0.9590739975196362,0.0,16.049639249639252,Outbound,47,49.361702127659576,False,False
902742,0,1173,1173,1.0,0.0,0.0,Outbound,30,39.1,False,False
902744,0,3149,3149,1.0,0.0,0.0,Outbound,32,98.40625,False,False
902746,0,2452,2452,1.0,0.0,0.0,Outbound,31,79.09677419354838,False,False
902748,0,2542,2542,1.0,0.0,0.0,Outbound,25,101.68,False,False
902774,0,1109,1109,1.0,0.0,0.0,Outbound,24,46.208333333333336,False,False
902776,0,1581,1581,1.0,0.0,0.0,Outbound,16,98.8125,False,False
902778,0,1300,1300,1.0,0.0,0.0,Outbound,23,56.52173913043478,False,False
902782,0,1302,1302,1.0,0.0,0.0,Outbound,26,50.07692307692308,False,False
902906,48,0,48,0.0,0.0,17.26923076923077,Inbound,39,0.0,False,False
902910,28,0,28,0.0,0.05,26.458333333333332,Inbound,20,0.0,False,False
903254,243,1465,1708,0.857728337236534,0.0,17.42779189409624,Outbound,82,17.865853658536587,False,False
903292,42,301,343,0.8775510204081632,0.0,15.44614898989899,Outbound,9,33.44444444444444,False,False
903312,127,53,180,0.29444444444444445,0.038461538461538464,18.670619658119655,Inbound,50,1.06,False,False
903318,281,1178,1459,0.8074023303632625,0.05263157894736842,12.733845234000032,Outbound,63,18.6984126984127,False,False
903390,9,0,9,0.0,0.0,14.642857142857142,Inbound,7,0.0,False,False
903512,28,0,28,0.0,0.0,42.2843137254902,Inbound,16,0.0,False,False
903974,10,0,10,0.0,0.0,17.27777777777778,Inbound,2,0.0,False,False
903976,5,0,5,0.0,0.0,7.125,Inbound,2,0.0,False,False
903978,4,6,10,0.6,0.0,9.5,Mixed,3,2.0,True,False
904014,41,1249,1290,0.9682170542635659,0.0,12.36007326007326,Outbound,28,44.607142857142854,False,False
904016,50,4681,4731,0.9894314098499261,0.07692307692307693,18.219871794871796,Outbound,46,101.76086956521739,False,False
904038,462,215,677,0.3175775480059084,0.02564102564102564,10.093733028854487,Mixed,78,2.7564102564102564,True,True
904044,108,23,131,0.17557251908396945,0.023809523809523808,18.150850340136053,Inbound,44,0.5227272727272727,False,False
904058,19,0,19,0.0,0.0,16.352941176470587,Inbound,17,0.0,False,False
904200,7,10,17,0.5882352941176471,0.0,22.5,Mixed,10,1.0,True,True
904202,7,233,240,0.9708333333333333,0.0,12.75,Outbound,9,25.88888888888889,False,False
904204,5,54,59,0.9152542372881356,0.0,31.875,Outbound,18,3.0,True,True
904284,47,0,47,0.0,0.0,16.29310344827586,Inbound,29,0.0,False,False
904344,4,5,9,0.5555555555555556,0.5,14.833333333333332,Mixed,1,5.0,True,False
904372,3,0,3,0.0,0.0,23.25,Inbound,2,0.0,False,False
905082,2,0,2,0.0,0.0,17.0,Inbound,1,0.0,False,False
905104,296,187,483,0.38716356107660455,0.09523809523809523,17.05668934240363,Mixed,57,3.280701754385965,True,True
905300,25,0,25,0.0,0.125,21.770833333333332,Inbound,15,0.0,False,False
905308,0,3,3,1.0,0.0,0.0,Outbound,1,3.0,True,False
905430,96,751,847,0.8866587957497049,0.0625,6.683581349206349,Outbound,17,44.1764705882353,False,False
905432,12,726,738,0.983739837398374,0.0,5.111111111111112,Outbound,12,60.5,False,False
905470,0,3,3,1.0,0.0,0.0,Outbound,1,3.0,True,False
905472,1,9,10,0.9,0.0,21.0,Outbound,2,4.5,False,False
905478,1,0,1,0.0,0.0,36.0,Inbound,1,0.0,False,False
905480,0,1,1,1.0,0.0,0.0,Outbound,1,1.0,True,False
905538,244,3169,3413,0.9285086434222092,0.037037037037037035,16.940732724066056,Outbound,57,55.59649122807018,False,False
905542,117,1985,2102,0.9443387250237869,0.06,17.980809523809523,Outbound,57,34.824561403508774,False,False
905564,57,694,751,0.9241011984021305,0.03225806451612903,24.518817204301076,Outbound,50,13.88,False,False
905566,44,861,905,0.9513812154696133,0.043478260869565216,18.748447204968944,Outbound,59,14.59322033898305,False,False
